Code,Description
A12,Fund Raising & Fund Distribution
T12,Fund Raising & Fund Distribution
R26,Lesbian & Gay Rights
Y23,Mutual Insurance Companies & Associations
D32,Bird Sanctuaries
W60,Financial Institutions
A01,Alliances & Advocacy
G42,Ear & Throat Diseases
F33,Residential Mental Health Treatment
O42,Girl Scouts of the U.S.A.
W20,Government & Public Administration
S21,Community Coalitions
N60,Amateur Sports
W11,Single Organization Support
P29,Thrift Shops
V24,Political Science
N01,Alliances & Advocacy
B40,Higher Education
G48,Brain Disorders
O53,Youth Development - Business
X12,Fund Raising & Fund Distribution
N31,Community Recreational Centers
O30,Adult & Child Matching Programs
Y30,Pension & Retirement Funds
W19,Support N.E.C.
V02,Management & Technical Assistance
T11,Single Organization Support
X50,Buddhism
A69,Symphony Orchestras
Q70,International Human Rights
O51,Youth Community Service Clubs
T22,Private Independent Foundations
V21,Anthropology & Sociology
Y40,Fraternal Societies
U02,Management & Technical Assistance
G01,Alliances & Advocacy
E60,Health Support
P84,Ethnic &  Immigrant Centers
E30,Ambulatory & Primary Health Care
R40,Voter Education & Registration
O03,Professional Societies & Associations
E50,Rehabilitative Care
Q51,International Economic & Trade Policy
U05,Research Institutes & Public Policy Analysis
G84,Autism
Y33,Teachers Retirement Fund Associations
J05,Research Institutes & Public Policy Analysis
U11,Single Organization Support
R29,Employee & Workers' Rights
R11,Single Organization Support
S80,Community Service Clubs
H90,Medical Disciplines Research
P81,Senior Centers
T70,Federated Giving Programs
F99,Mental Health & Crisis Intervention N.E.C.
L19,Support N.E.C.
D02,Management & Technical Assistance
I02,Management & Technical Assistance
E05,Research Institutes & Public Policy Analysis
L01,Alliances & Advocacy
S47,Real Estate Associations
Q34,International Educational Development 
T90,Named Trusts N.E.C.
M02,Management & Technical Assistance
O55,Youth Development - Religious Leadership
F40,Hot Lines & Crisis Intervention
Q30,International Development
C03,Professional Societies & Associations
O99,Youth Development N.E.C.
P86,Blind & Visually Impaired Centers
Q38,"International Environment, Population & Sustainability "
R19,Support N.E.C.
E92,Home Health Care
K05,Research Institutes & Public Policy Analysis
F05,Research Institutes & Public Policy Analysis
H84,Autism Research
A25,Arts Education
Q32,International Economic Development
B70,Libraries
